,market,arrival_date,arrivals_tonnes,variety,minimum_price,maximum_price,modal_price
0,Bagepalli,2/1/2016,6.0,Tomato,1000,1800,1550
1,Bagepalli,4/1/2016,6.0,Tomato,900,1800,1550
2,Bagepalli,5/1/2016,6.0,Tomato,1400,2500,2200
3,Bagepalli,6/1/2016,4.0,Tomato,1400,3000,2400
4,Bagepalli,7/1/2016,5.0,Tomato,1400,2600,2200
5,Bagepalli,11/1/2016,5.0,Tomato,1400,2800,2200
6,Bagepalli,12/1/2016,6.0,Tomato,1500,2400,2000
7,Bagepalli,13/01/2016,7.0,Tomato,1400,2600,2200
8,Bagepalli,14/01/2016,7.0,Tomato,1200,2200,2000
9,Bagepalli,16/01/2016,5.0,Tomato,1200,2200,1800
10,Bagepalli,18/01/2016,6.0,Tomato,1200,2200,1800
11,Bagepalli,19/01/2016,7.0,Tomato,1200,2000,1700
12,Bagepalli,20/01/2016,7.0,Tomato,1000,2000,1600
13,Bagepalli,21/01/2016,6.0,Tomato,900,2200,1800
14,Bagepalli,22/01/2016,3.0,Tomato,1200,1800,1500
15,Bagepalli,23/01/2016,7.0,Tomato,1000,2200,1800
16,Bagepalli,25/01/2016,6.0,Tomato,1000,2000,1600
17,Bangarpet,1/1/2016,1.0,Tomato,500,3200,2800
18,Bangarpet,4/1/2016,1.0,Tomato,830,3800,2800
19,Bangarpet,5/1/2016,1.0,Tomato,600,3900,2900
20,Bangarpet,23/01/2016,1.0,Tomato,400,1500,1000
21,Bangarpet,25/01/2016,1.0,Tomato,400,1300,1000
30,"Binny Mill (F&V), Bangalore",12/1/2016,48.0,Tomato,2000,2500,2300
32,"Binny Mill (F&V), Bangalore",14/01/2016,50.0,Tomato,2000,2500,2200
33,"Binny Mill (F&V), Bangalore",16/01/2016,35.0,Tomato,2000,2200,2100
34,"Binny Mill (F&V), Bangalore",18/01/2016,43.0,Tomato,1800,2200,2000
35,"Binny Mill (F&V), Bangalore",19/01/2016,48.0,Tomato,1600,2000,1800
36,"Binny Mill (F&V), Bangalore",20/01/2016,47.0,Tomato,1500,1700,1600
37,"Binny Mill (F&V), Bangalore",21/01/2016,50.0,Tomato,1200,1500,1300
38,"Binny Mill (F&V), Bangalore",23/01/2016,54.0,Tomato,1000,1400,1200
39,"Binny Mill (F&V), Bangalore",25/01/2016,48.0,Tomato,700,1000,800
42,Channapatana,4/1/2016,1.0,Tomato,2000,2600,2300
50,Channapatana,19/01/2016,1.0,Tomato,2000,2500,2250
51,Channapatana,20/01/2016,1.0,Tomato,800,1200,1000
52,Channapatana,21/01/2016,2.0,Tomato,1000,2000,1500
53,Channapatana,22/01/2016,1.0,Tomato,800,1200,1000
54,Channapatana,23/01/2016,2.0,Tomato,1000,1400,1200
55,Channapatana,25/01/2016,2.0,Tomato,800,1000,900
56,Chickkaballapura,1/1/2016,13.0,Tomato,700,3600,2800
57,Chickkaballapura,2/1/2016,11.0,Tomato,700,3800,3000
61,Chickkaballapura,6/1/2016,13.0,Tomato,500,4300,3500
63,Chickkaballapura,9/1/2016,10.0,Tomato,400,3700,2500
64,Chickkaballapura,10/1/2016,9.0,Tomato,400,3400,2400
65,Chickkaballapura,11/1/2016,8.0,Tomato,385,3460,1750
66,Chickkaballapura,12/1/2016,13.0,Tomato,300,2600,1500
67,Chickkaballapura,13/01/2016,12.0,Tomato,300,2600,2000
68,Chickkaballapura,15/01/2016,12.0,Tomato,310,2500,1800
69,Chickkaballapura,16/01/2016,14.0,Tomato,300,2600,1900
70,Chickkaballapura,17/01/2016,14.0,Tomato,300,2400,2000
71,Chickkaballapura,18/01/2016,14.0,Tomato,300,2300,1600
72,Chickkaballapura,19/01/2016,15.0,Tomato,230,2300,1500
73,Chikkamagalore,1/1/2016,59.0,Tomato,1300,1800,1500
79,Chikkamagalore,12/1/2016,12.0,Tomato,1700,2300,2000
80,Chikkamagalore,13/01/2016,45.0,Tomato,1700,2200,2000
81,Chikkamagalore,14/01/2016,15.0,Tomato,1800,2200,2000
82,Chikkamagalore,16/01/2016,53.0,Tomato,1300,1800,1500
83,Chikkamagalore,18/01/2016,42.0,Tomato,1800,2500,2200
84,Chikkamagalore,19/01/2016,30.0,Tomato,1400,1800,1500
85,Chikkamagalore,20/01/2016,23.0,Tomato,1200,2000,1500
86,Chikkamagalore,21/01/2016,10.0,Tomato,1400,1800,1600
87,Chikkamagalore,22/01/2016,31.0,Tomato,800,1500,1200
88,Chikkamagalore,23/01/2016,51.0,Tomato,600,1500,1000
89,Chikkamagalore,25/01/2016,85.0,Tomato,800,1500,1000
90,Chintamani,1/1/2016,45.0,Tomato,800,2500,1900
91,Chintamani,2/1/2016,18.0,Tomato,2000,4300,3200
92,Chintamani,3/1/2016,21.0,Tomato,2000,4400,3300
95,Chintamani,7/1/2016,21.0,Tomato,300,555,450
96,Chintamani,8/1/2016,20.0,Tomato,225,555,330
97,Chintamani,10/1/2016,14.0,Tomato,1200,2666,1866
98,Chintamani,11/1/2016,14.0,Tomato,1200,2600,1800
99,Chintamani,12/1/2016,12.0,Tomato,700,2266,1866
100,Chintamani,13/01/2016,8.0,Tomato,700,2400,1866
101,Chintamani,14/01/2016,8.0,Tomato,1336,3000,2333
102,Chintamani,15/01/2016,5.0,Tomato,1336,3133,2533
103,Chintamani,16/01/2016,12.0,Tomato,2000,3366,3000
104,Chintamani,17/01/2016,11.0,Tomato,700,2333,1866
105,Chintamani,18/01/2016,12.0,Tomato,800,2000,1466
106,Chintamani,19/01/2016,15.0,Tomato,500,1700,1166
107,Chintamani,20/01/2016,13.0,Tomato,500,1200,800
108,Chintamani,21/01/2016,9.0,Tomato,400,1100,700
109,Chintamani,22/01/2016,14.0,Tomato,500,1166,800
110,Chintamani,23/01/2016,12.0,Tomato,200,600,400
111,Chintamani,24/01/2016,12.0,Tomato,200,600,400
112,Chintamani,25/01/2016,12.0,Tomato,300,800,533
113,Chintamani,31/01/2016,55.0,Tomato,200,800,500
114,Davangere,1/1/2016,39.0,Tomato,1600,1800,1700
115,Davangere,2/1/2016,38.0,Tomato,1600,2000,1800
116,Davangere,6/1/2016,25.0,Tomato,1600,1700,1650
117,Davangere,8/1/2016,22.0,Tomato,1400,1800,1600
118,Davangere,12/1/2016,22.0,Tomato,1000,1200,1100
119,Davangere,13/01/2016,25.0,Tomato,1200,1400,1300
120,Davangere,14/01/2016,20.0,Tomato,1400,1600,1500
121,Davangere,16/01/2016,20.0,Tomato,1500,2000,1750
122,Davangere,19/01/2016,30.0,Tomato,1000,1300,1150
123,Davangere,20/01/2016,45.0,Tomato,500,600,550
124,Davangere,21/01/2016,40.0,Tomato,200,800,500
